Ibge;Existe serviço de dragagem ou desassoreamento dos cursos d'água naturais perenes - IE041;Data
110002;[N] Não;31/12/2015
110003;;31/12/2015
110005;;31/12/2015
110007;;31/12/2015
110012;;31/12/2015
110018;;31/12/2015
110020;[N] Não;31/12/2015
110034;[S] Sim;31/12/2015
110070;[S] Sim;31/12/2015
110100;[N] Não;31/12/2015
110120;[N] Não;31/12/2015
110140;[N] Não;31/12/2015
110149;;31/12/2015
110160;[N] Não;31/12/2015
110170;;31/12/2015
120010;;31/12/2015
120013;[N] Não;31/12/2015
120030;[N] Não;31/12/2015
120035;;31/12/2015
120039;[N] Não;31/12/2015
120040;[S] Sim;31/12/2015
120042;[N] Não;31/12/2015
130014;[N] Não;31/12/2015
130040;;31/12/2015
130070;;31/12/2015
130110;;31/12/2015
130150;[N] Não;31/12/2015
130165;[N] Não;31/12/2015
130230;;31/12/2015
130240;[N] Não;31/12/2015
130270;;31/12/2015
130300;;31/12/2015
130310;;31/12/2015
130370;;31/12/2015
140010;;31/12/2015
140015;;31/12/2015
140020;[N] Não;31/12/2015
140047;;31/12/2015
150010;;31/12/2015
150034;;31/12/2015
150080;[S] Sim;31/12/2015
150095;[N] Não;31/12/2015
150120;;31/12/2015
150130;[N] Não;31/12/2015
150140;[S] Sim;31/12/2015
150150;;31/12/2015
150157;[S] Sim;31/12/2015
150160;;31/12/2015
150172;;31/12/2015
150175;;31/12/2015
150180;[S] Sim;31/12/2015
150195;;31/12/2015
150210;;31/12/2015
150215;[S] Sim;31/12/2015
150240;;31/12/2015
150250;[S] Sim;31/12/2015
150270;[N] Não;31/12/2015
150275;;31/12/2015
150276;[N] Não;31/12/2015
150293;;31/12/2015
150420;;31/12/2015
150442;;31/12/2015
150445;;31/12/2015
150470;;31/12/2015
150506;;31/12/2015
150550;;31/12/2015
150553;[N] Não;31/12/2015
150618;;31/12/2015
150619;;31/12/2015
150635;[N] Não;31/12/2015
150680;;31/12/2015
150715;;31/12/2015
150730;[S] Sim;31/12/2015
150740;[N] Não;31/12/2015
150760;[N] Não;31/12/2015
150775;;31/12/2015
150796;[N] Não;31/12/2015
150800;;31/12/2015
150803;[N] Não;31/12/2015
150805;[N] Não;31/12/2015
150812;[N] Não;31/12/2015
150835;;31/12/2015
160015;[N] Não;31/12/2015
160055;;31/12/2015
170040;[S] Sim;31/12/2015
170070;;31/12/2015
170100;[S] Sim;31/12/2015
170110;[S] Sim;31/12/2015
170190;[N] Não;31/12/2015
170210;[N] Não;31/12/2015
170240;[N] Não;31/12/2015
170255;;31/12/2015
170300;;31/12/2015
170360;;31/12/2015
170410;[N] Não;31/12/2015
170700;;31/12/2015
170720;;31/12/2015
170740;;31/12/2015
170930;[N] Não;31/12/2015
170950;;31/12/2015
171090;;31/12/2015
171110;;31/12/2015
171180;;31/12/2015
171215;;31/12/2015
171270;[N] Não;31/12/2015
171330;;31/12/2015
171420;;31/12/2015
171500;;31/12/2015
171650;;31/12/2015
171665;;31/12/2015
171750;;31/12/2015
171790;[N] Não;31/12/2015
171845;;31/12/2015
171850;[N] Não;31/12/2015
171884;;31/12/2015
171888;;31/12/2015
171890;[N] Não;31/12/2015
172000;[N] Não;31/12/2015
172015;;31/12/2015
172025;;31/12/2015
172085;;31/12/2015
172097;;31/12/2015
172100;[N] Não;31/12/2015
172130;;31/12/2015
210010;[N] Não;31/12/2015
210020;[N] Não;31/12/2015
210043;;31/12/2015
210120;;31/12/2015
210135;;31/12/2015
210160;[N] Não;31/12/2015
210170;;31/12/2015
210173;[N] Não;31/12/2015
210177;;31/12/2015
210230;;31/12/2015
210232;;31/12/2015
210237;;31/12/2015
210270;[N] Não;31/12/2015
210405;;31/12/2015
210550;;31/12/2015
210570;[N] Não;31/12/2015
210580;;31/12/2015
210592;;31/12/2015
210663;;31/12/2015
210740;;31/12/2015
210780;;31/12/2015
210880;;31/12/2015
210905;;31/12/2015
210923;;31/12/2015
210940;;31/12/2015
210955;;31/12/2015
210970;;31/12/2015
211027;;31/12/2015
211040;;31/12/2015
211065;;31/12/2015
211107;[N] Não;31/12/2015
211130;[N] Não;31/12/2015
211150;;31/12/2015
211153;[N] Não;31/12/2015
211160;;31/12/2015
211178;;31/12/2015
211195;;31/12/2015
211220;;31/12/2015
211223;;31/12/2015
211260;;31/12/2015
211270;;31/12/2015
211280;;31/12/2015
220010;;31/12/2015
220027;;31/12/2015
220045;;31/12/2015
220090;;31/12/2015
220110;;31/12/2015
220120;[N] Não;31/12/2015
220157;;31/12/2015
220160;;31/12/2015
220192;;31/12/2015
220194;;31/12/2015
220198;;31/12/2015
220202;;31/12/2015
220260;;31/12/2015
220265;;31/12/2015
220271;;31/12/2015
220273;;31/12/2015
220285;;31/12/2015
220330;;31/12/2015
220370;;31/12/2015
220400;;31/12/2015
220415;;31/12/2015
220420;;31/12/2015
220460;;31/12/2015
220470;;31/12/2015
220480;;31/12/2015
220500;;31/12/2015
220510;;31/12/2015
220535;;31/12/2015
220585;;31/12/2015
220595;;31/12/2015
220635;;31/12/2015
220650;;31/12/2015
220700;;31/12/2015
220710;;31/12/2015
220760;;31/12/2015
220830;[N] Não;31/12/2015
220955;;31/12/2015
221030;;31/12/2015
221039;;31/12/2015
221040;[S] Sim;31/12/2015
221063;;31/12/2015
221080;;31/12/2015
221090;;31/12/2015
221097;;31/12/2015
221100;;31/12/2015
221160;;31/12/2015
230050;[N] Não;31/12/2015
230090;[N] Não;31/12/2015
230125;;31/12/2015
230130;;31/12/2015
230160;;31/12/2015
230170;;31/12/2015
230205;;31/12/2015
230220;[S] Sim;31/12/2015
230250;;31/12/2015
230300;[N] Não;31/12/2015
230350;[S] Sim;31/12/2015
230380;;31/12/2015
230425;;31/12/2015
230435;;31/12/2015
230440;;31/12/2015
230450;;31/12/2015
230465;;31/12/2015
230470;;31/12/2015
230590;;31/12/2015
230600;;31/12/2015
230610;;31/12/2015
230620;;31/12/2015
230625;;31/12/2015
230640;;31/12/2015
230655;;31/12/2015
230690;;31/12/2015
230720;;31/12/2015
230763;;31/12/2015
230765;[S] Sim;31/12/2015
230770;;31/12/2015
230850;;31/12/2015
230910;;31/12/2015
230930;;31/12/2015
230970;;31/12/2015
230980;[N] Não;31/12/2015
231000;;31/12/2015
231070;;31/12/2015
231085;;31/12/2015
231090;;31/12/2015
231110;;31/12/2015
231120;;31/12/2015
231210;;31/12/2015
231240;;31/12/2015
231260;;31/12/2015
231290;;31/12/2015
231300;;31/12/2015
231325;;31/12/2015
231340;;31/12/2015
231375;;31/12/2015
231390;;31/12/2015
231400;;31/12/2015
231410;;31/12/2015
240040;;31/12/2015
240050;;31/12/2015
240090;;31/12/2015
240100;;31/12/2015
240110;[N] Não;31/12/2015
240140;;31/12/2015
240325;[N] Não;31/12/2015
240400;;31/12/2015
240410;;31/12/2015
240450;;31/12/2015
240480;;31/12/2015
240550;;31/12/2015
240560;;31/12/2015
240590;;31/12/2015
240600;;31/12/2015
240650;;31/12/2015
240670;;31/12/2015
240690;;31/12/2015
240700;;31/12/2015
240710;[N] Não;31/12/2015
240725;;31/12/2015
240730;;31/12/2015
240780;[N] Não;31/12/2015
240800;;31/12/2015
240810;[N] Não;31/12/2015
240820;[N] Não;31/12/2015
240850;;31/12/2015
240860;;31/12/2015
241020;;31/12/2015
241025;[N] Não;31/12/2015
241030;;31/12/2015
241050;;31/12/2015
241080;;31/12/2015
241105;;31/12/2015
241120;;31/12/2015
241142;;31/12/2015
241150;;31/12/2015
241170;;31/12/2015
241190;;31/12/2015
241210;;31/12/2015
241320;[N] Não;31/12/2015
241350;;31/12/2015
241355;;31/12/2015
241380;;31/12/2015
241410;;31/12/2015
241460;;31/12/2015
241470;;31/12/2015
241490;;31/12/2015
250040;;31/12/2015
250053;;31/12/2015
250070;;31/12/2015
250077;;31/12/2015
250100;;31/12/2015
250115;;31/12/2015
250130;[N] Não;31/12/2015
250153;;31/12/2015
250170;;31/12/2015
250190;[N] Não;31/12/2015
250200;;31/12/2015
250210;;31/12/2015
250215;;31/12/2015
250220;;31/12/2015
250230;;31/12/2015
250240;;31/12/2015
250250;;31/12/2015
250310;;31/12/2015
250320;[N] Não;31/12/2015
250340;;31/12/2015
250355;;31/12/2015
250375;;31/12/2015
250390;;31/12/2015
250400;;31/12/2015
250410;;31/12/2015
250420;;31/12/2015
250430;;31/12/2015
250435;;31/12/2015
250440;;31/12/2015
250470;;31/12/2015
250490;;31/12/2015
250520;;31/12/2015
250527;;31/12/2015
250535;;31/12/2015
250570;;31/12/2015
250590;;31/12/2015
250610;;31/12/2015
250630;[N] Não;31/12/2015
250640;;31/12/2015
250650;;31/12/2015
250660;;31/12/2015
250670;;31/12/2015
250720;[N] Não;31/12/2015
250740;;31/12/2015
250750;[S] Sim;31/12/2015
250760;;31/12/2015
250790;;31/12/2015
250800;[N] Não;31/12/2015
250830;;31/12/2015
250840;[N] Não;31/12/2015
250850;;31/12/2015
250870;;31/12/2015
250880;;31/12/2015
250900;;31/12/2015
250905;;31/12/2015
250930;;31/12/2015
250937;;31/12/2015
250939;;31/12/2015
250940;;31/12/2015
250950;;31/12/2015
250970;;31/12/2015
250990;;31/12/2015
251010;;31/12/2015
251020;;31/12/2015
251080;;31/12/2015
251090;;31/12/2015
251100;;31/12/2015
251110;;31/12/2015
251120;;31/12/2015
251140;;31/12/2015
251160;;31/12/2015
251180;[N] Não;31/12/2015
251203;;31/12/2015
251210;;31/12/2015
251260;;31/12/2015
251270;;31/12/2015
251272;[N] Não;31/12/2015
251274;;31/12/2015
251278;;31/12/2015
251280;;31/12/2015
251310;;31/12/2015
251315;;31/12/2015
251320;;31/12/2015
251335;;31/12/2015
251340;;31/12/2015
251350;;31/12/2015
251360;;31/12/2015
251390;;31/12/2015
251396;;31/12/2015
251398;;31/12/2015
251420;;31/12/2015
251445;;31/12/2015
251450;;31/12/2015
251460;;31/12/2015
251465;;31/12/2015
251470;;31/12/2015
251480;;31/12/2015
251490;;31/12/2015
251500;;31/12/2015
251520;;31/12/2015
251530;[N] Não;31/12/2015
251560;;31/12/2015
251570;;31/12/2015
251580;;31/12/2015
251593;;31/12/2015
251630;;31/12/2015
251640;;31/12/2015
251660;;31/12/2015
251670;;31/12/2015
251675;;31/12/2015
251680;;31/12/2015
251690;;31/12/2015
251710;;31/12/2015
251720;;31/12/2015
260030;;31/12/2015
260110;;31/12/2015
260120;;31/12/2015
260170;;31/12/2015
260190;;31/12/2015
260250;;31/12/2015
260260;[N] Não;31/12/2015
260320;;31/12/2015
260420;[S] Sim;31/12/2015
260430;;31/12/2015
260450;;31/12/2015
260460;;31/12/2015
260480;[S] Sim;31/12/2015
260520;;31/12/2015
260530;;31/12/2015
260560;;31/12/2015
260570;;31/12/2015
260600;[N] Não;31/12/2015
260620;[S] Sim;31/12/2015
260650;;31/12/2015
260680;;31/12/2015
260720;[N] Não;31/12/2015
260770;;31/12/2015
260790;[S] Sim;31/12/2015
260795;;31/12/2015
260840;;31/12/2015
260875;[N] Não;31/12/2015
260880;[N] Não;31/12/2015
260910;;31/12/2015
260915;;31/12/2015
260920;;31/12/2015
260970;;31/12/2015
260980;;31/12/2015
261020;;31/12/2015
261070;[N] Não;31/12/2015
261110;;31/12/2015
261140;;31/12/2015
261160;[S] Sim;31/12/2015
261170;;31/12/2015
261200;[N] Não;31/12/2015
261240;;31/12/2015
261245;;31/12/2015
261247;;31/12/2015
261270;;31/12/2015
261330;;31/12/2015
261360;;31/12/2015
261390;[N] Não;31/12/2015
261400;[N] Não;31/12/2015
261460;;31/12/2015
261480;;31/12/2015
261485;;31/12/2015
261500;[N] Não;31/12/2015
261520;[S] Sim;31/12/2015
261530;[N] Não;31/12/2015
261550;;31/12/2015
261570;;31/12/2015
270060;[N] Não;31/12/2015
270070;;31/12/2015
270090;[N] Não;31/12/2015
270140;;31/12/2015
270170;;31/12/2015
270230;;31/12/2015
270250;;31/12/2015
270330;;31/12/2015
270350;[N] Não;31/12/2015
270375;;31/12/2015
270390;;31/12/2015
270430;[N] Não;31/12/2015
270440;;31/12/2015
270490;;31/12/2015
270600;;31/12/2015
270630;;31/12/2015
270644;[N] Não;31/12/2015
270720;;31/12/2015
270830;[N] Não;31/12/2015
280030;[S] Sim;31/12/2015
280067;;31/12/2015
280100;;31/12/2015
280200;;31/12/2015
280230;;31/12/2015
280280;;31/12/2015
280290;;31/12/2015
280390;;31/12/2015
280410;;31/12/2015
280450;;31/12/2015
280460;;31/12/2015
280500;;31/12/2015
280540;;31/12/2015
280610;;31/12/2015
280620;[S] Sim;31/12/2015
280710;;31/12/2015
280760;;31/12/2015
290060;;31/12/2015
290100;;31/12/2015
290120;[N] Não;31/12/2015
290130;[S] Sim;31/12/2015
290180;;31/12/2015
290205;[N] Não;31/12/2015
290260;;31/12/2015
290395;;31/12/2015
290400;[N] Não;31/12/2015
290460;;31/12/2015
290560;;31/12/2015
290570;[N] Não;31/12/2015
290660;;31/12/2015
290680;;31/12/2015
290682;;31/12/2015
290685;;31/12/2015
290700;;31/12/2015
290750;;31/12/2015
290760;;31/12/2015
290840;;31/12/2015
290850;;31/12/2015
290880;[N] Não;31/12/2015
290900;;31/12/2015
290910;;31/12/2015
290940;[N] Não;31/12/2015
290960;;31/12/2015
291005;[S] Sim;31/12/2015
291010;;31/12/2015
291030;;31/12/2015
291072;;31/12/2015
291080;[S] Sim;31/12/2015
291090;;31/12/2015
291120;;31/12/2015
291125;[N] Não;31/12/2015
291130;;31/12/2015
291140;;31/12/2015
291150;[N] Não;31/12/2015
291165;;31/12/2015
291170;;31/12/2015
291185;;31/12/2015
291250;;31/12/2015
291280;[N] Não;31/12/2015
291320;;31/12/2015
291470;;31/12/2015
291480;;31/12/2015
291535;;31/12/2015
291550;;31/12/2015
291580;[S] Sim;31/12/2015
291660;[S] Sim;31/12/2015
291685;;31/12/2015
291690;;31/12/2015
291700;;31/12/2015
291735;;31/12/2015
291740;[N] Não;31/12/2015
291760;;31/12/2015
291780;[N] Não;31/12/2015
291840;;31/12/2015
291870;;31/12/2015
291930;;31/12/2015
291940;;31/12/2015
291960;;31/12/2015
291992;;31/12/2015
291995;;31/12/2015
292030;;31/12/2015
292060;;31/12/2015
292070;;31/12/2015
292090;;31/12/2015
292105;;31/12/2015
292180;;31/12/2015
292205;;31/12/2015
292275;;31/12/2015
292280;;31/12/2015
292390;;31/12/2015
292420;;31/12/2015
292430;;31/12/2015
292450;;31/12/2015
292465;;31/12/2015
292500;;31/12/2015
292530;;31/12/2015
292560;;31/12/2015
292570;;31/12/2015
292590;;31/12/2015
292600;;31/12/2015
292660;;31/12/2015
292690;;31/12/2015
292740;[S] Sim;31/12/2015
292770;;31/12/2015
292805;[S] Sim;31/12/2015
292840;[N] Não;31/12/2015
292850;;31/12/2015
292880;;31/12/2015
292895;;31/12/2015
292935;[N] Não;31/12/2015
292950;;31/12/2015
292970;[N] Não;31/12/2015
293000;;31/12/2015
293030;;31/12/2015
293040;;31/12/2015
293070;[S] Sim;31/12/2015
293077;;31/12/2015
293130;;31/12/2015
293135;[S] Sim;31/12/2015
293210;;31/12/2015
293250;[S] Sim;31/12/2015
293300;;31/12/2015
293310;;31/12/2015
293317;;31/12/2015
293330;[S] Sim;31/12/2015
293345;[N] Não;31/12/2015
310010;[N] Não;31/12/2015
310020;[N] Não;31/12/2015
310030;;31/12/2015
310050;;31/12/2015
310060;[S] Sim;31/12/2015
310070;;31/12/2015
310080;;31/12/2015
310110;[S] Sim;31/12/2015
310120;;31/12/2015
310140;;31/12/2015
310150;;31/12/2015
310170;;31/12/2015
310180;;31/12/2015
310190;[S] Sim;31/12/2015
310220;[S] Sim;31/12/2015
310240;[N] Não;31/12/2015
310280;[N] Não;31/12/2015
310320;;31/12/2015
310330;[N] Não;31/12/2015
310340;;31/12/2015
310360;[S] Sim;31/12/2015
310370;;31/12/2015
310400;;31/12/2015
310410;;31/12/2015
310420;[N] Não;31/12/2015
310440;;31/12/2015
310460;;31/12/2015
310490;;31/12/2015
310500;;31/12/2015
310520;[S] Sim;31/12/2015
310530;;31/12/2015
310540;[S] Sim;31/12/2015
310560;[N] Não;31/12/2015
310590;[S] Sim;31/12/2015
310600;;31/12/2015
310620;[S] Sim;31/12/2015
310630;;31/12/2015
310640;[S] Sim;31/12/2015
310670;[S] Sim;31/12/2015
310690;[N] Não;31/12/2015
310730;;31/12/2015
310740;[S] Sim;31/12/2015
310750;;31/12/2015
310770;;31/12/2015
310790;;31/12/2015
310800;[N] Não;31/12/2015
310810;;31/12/2015
310820;;31/12/2015
310825;;31/12/2015
310840;[S] Sim;31/12/2015
310850;;31/12/2015
310855;;31/12/2015
310870;;31/12/2015
310890;;31/12/2015
310910;[N] Não;31/12/2015
310940;[N] Não;31/12/2015
310945;;31/12/2015
310960;[N] Não;31/12/2015
310970;;31/12/2015
311000;;31/12/2015
311020;[N] Não;31/12/2015
311050;[S] Sim;31/12/2015
311060;;31/12/2015
311090;;31/12/2015
311100;;31/12/2015
311110;;31/12/2015
311120;[N] Não;31/12/2015
311140;[N] Não;31/12/2015
311150;[N] Não;31/12/2015
311170;;31/12/2015
311210;[N] Não;31/12/2015
311230;;31/12/2015
311250;;31/12/2015
311265;;31/12/2015
311300;;31/12/2015
311330;[N] Não;31/12/2015
311360;;31/12/2015
311380;;31/12/2015
311420;[S] Sim;31/12/2015
311460;;31/12/2015
311470;;31/12/2015
311480;;31/12/2015
311510;[N] Não;31/12/2015
311520;[S] Sim;31/12/2015
311530;[S] Sim;31/12/2015
311535;[N] Não;31/12/2015
311540;;31/12/2015
311550;;31/12/2015
311560;[N] Não;31/12/2015
311600;;31/12/2015
311620;;31/12/2015
311630;[N] Não;31/12/2015
311650;;31/12/2015
311660;[S] Sim;31/12/2015
311670;;31/12/2015
311690;;31/12/2015
311700;;31/12/2015
311710;[S] Sim;31/12/2015
311720;[N] Não;31/12/2015
311730;;31/12/2015
311760;;31/12/2015
311770;[N] Não;31/12/2015
311780;[S] Sim;31/12/2015
311783;;31/12/2015
311800;[N] Não;31/12/2015
311810;[S] Sim;31/12/2015
311820;;31/12/2015
311830;;31/12/2015
311850;[N] Não;31/12/2015
311860;[N] Não;31/12/2015
311870;;31/12/2015
311880;;31/12/2015
311900;;31/12/2015
311910;;31/12/2015
311930;;31/12/2015
311940;[S] Sim;31/12/2015
311970;;31/12/2015
311980;[N] Não;31/12/2015
311995;[S] Sim;31/12/2015
312020;;31/12/2015
312050;;31/12/2015
312070;;31/12/2015
312080;;31/12/2015
312090;[N] Não;31/12/2015
312110;[N] Não;31/12/2015
312120;;31/12/2015
312125;;31/12/2015
312130;;31/12/2015
312150;[N] Não;31/12/2015
312190;[N] Não;31/12/2015
312200;[N] Não;31/12/2015
312210;;31/12/2015
312220;;31/12/2015
312230;[N] Não;31/12/2015
312235;;31/12/2015
312240;[N] Não;31/12/2015
